score,KC_factor,projections,hash_dims,flattening
-0.00504,4.0,10.0,256.0,log10
-0.00549,2.0,20.0,32.0,log
-0.00562,8.0,6.0,640.0,log10
-0.00584,4.0,20.0,128.0,log10
-0.00628,1.0,20.0,48.0,log
-0.00634,8.0,14.0,512.0,log10
-0.00785,6.0,16.0,192.0,log10
-0.00789,10.0,14.0,800.0,log
-0.00886,10.0,18.0,480.0,log
-0.00906,8.0,20.0,640.0,log
-0.01079,8.0,10.0,384.0,log
-0.01132,4.0,8.0,320.0,log
-0.01166,6.0,10.0,480.0,log
-0.01279,8.0,16.0,384.0,log2
-0.01302,1.0,6.0,64.0,log10
-0.01313,4.0,14.0,192.0,log2
-0.01313,8.0,20.0,512.0,log10
-0.01389,6.0,16.0,192.0,log2
-0.01434,6.0,18.0,384.0,log10
-0.01457,4.0,20.0,256.0,log2
-0.01468,6.0,8.0,480.0,log
-0.01506,8.0,16.0,512.0,log2
-0.01507,2.0,8.0,64.0,log2
-0.01509,8.0,6.0,256.0,log10
-0.0154,2.0,6.0,128.0,log
-0.01585,8.0,14.0,640.0,log2
-0.01642,8.0,10.0,640.0,log10
-0.0165,6.0,18.0,192.0,log2
-0.01691,8.0,18.0,512.0,log
-0.01718,4.0,10.0,128.0,log2
-0.01729,4.0,16.0,256.0,log2
-0.01732,4.0,16.0,256.0,log
-0.01767,6.0,10.0,192.0,log2
-0.01801,8.0,10.0,128.0,log10
-0.01869,4.0,14.0,256.0,log
-0.01883,6.0,8.0,288.0,log2
-0.01887,8.0,20.0,384.0,log10
-0.01948,2.0,20.0,64.0,log2
-0.01962,8.0,8.0,512.0,log10
-0.02017,1.0,20.0,80.0,log10
-0.02027,6.0,10.0,384.0,log10
-0.02354,4.0,16.0,128.0,log
-0.02399,2.0,12.0,128.0,log10
-0.02415,10.0,16.0,800.0,log
-0.02415,8.0,10.0,512.0,log10
-0.02468,8.0,12.0,128.0,log2
-0.02484,8.0,16.0,384.0,log10
-0.02487,8.0,8.0,512.0,log
-0.02509,6.0,18.0,96.0,log10
-0.02516,2.0,10.0,64.0,log
-0.02525,4.0,14.0,320.0,log
-0.0253,1.0,16.0,80.0,log2
-0.02586,1.0,16.0,48.0,log10
-0.02601,10.0,14.0,320.0,log10
-0.02761,1.0,12.0,64.0,log2
-0.0277,4.0,6.0,64.0,log10
-0.02786,8.0,12.0,512.0,log2
-0.02796,2.0,18.0,96.0,log
-0.02814,6.0,20.0,288.0,log10
-0.02862,10.0,18.0,320.0,log2
-0.02865,4.0,18.0,256.0,log
-0.02881,1.0,12.0,32.0,log
-0.02903,2.0,10.0,64.0,log10
-0.02943,10.0,12.0,640.0,log10
-0.03004,10.0,10.0,160.0,log
-0.03007,8.0,6.0,384.0,log2
-0.03011,1.0,18.0,32.0,log
-0.03013,10.0,20.0,320.0,log2
-0.03016,10.0,20.0,480.0,log
-0.03111,8.0,14.0,128.0,log2
-0.03138,1.0,8.0,16.0,log10
-0.03202,6.0,16.0,480.0,log
-0.0339,6.0,20.0,480.0,log
-0.03393,6.0,18.0,288.0,log10
-0.03396,4.0,20.0,320.0,log2
-0.03396,8.0,18.0,512.0,log2
-0.0353,2.0,8.0,160.0,log
-0.03576,4.0,16.0,192.0,log
-0.03579,8.0,10.0,640.0,log2
-0.03655,4.0,10.0,192.0,log10
-0.03695,10.0,10.0,640.0,log2
-0.03731,1.0,10.0,16.0,log
-0.03762,6.0,20.0,96.0,log2
-0.03844,2.0,10.0,160.0,log2
-0.03922,8.0,16.0,256.0,log10
-0.03925,10.0,6.0,480.0,log2
-0.04,8.0,14.0,512.0,log
-0.04024,6.0,10.0,192.0,log10
-0.04057,6.0,20.0,288.0,log2
-0.04073,6.0,8.0,480.0,log10
-0.04152,1.0,10.0,48.0,log
-0.04183,6.0,14.0,192.0,log2
-0.0431,1.0,14.0,16.0,log2
-0.04372,8.0,18.0,128.0,log
-0.04448,8.0,8.0,128.0,log10
-0.04486,6.0,14.0,480.0,log10
-0.04551,10.0,16.0,160.0,log2
-0.0461,1.0,10.0,64.0,log10
-0.04669,10.0,12.0,640.0,log
-0.04679,10.0,8.0,800.0,log2
