score,KC_factor,projections,hash_dims,flattening
-0.1083,6.0,10.0,720.0,log10
-0.10868,10.0,20.0,800.0,log
-0.10868,6.0,10.0,720.0,log2
-0.10868,8.0,18.0,320.0,log2
-0.10868,10.0,20.0,800.0,log10
-0.10944,1.0,16.0,120.0,log
-0.11057,4.0,6.0,320.0,log
-0.11057,1.0,8.0,200.0,log10
-0.11094,4.0,14.0,320.0,log10
-0.11209,1.0,10.0,160.0,log2
-0.11245,8.0,12.0,1600.0,log2
-0.11246,1.0,12.0,200.0,log10
-0.11321,8.0,6.0,1600.0,log
-0.11321,2.0,6.0,400.0,log2
-0.11359,4.0,20.0,160.0,log
-0.11359,2.0,18.0,320.0,log10
-0.11434,8.0,16.0,960.0,log2
-0.11548,8.0,18.0,960.0,log2
-0.11548,4.0,8.0,800.0,log10
-0.11585,6.0,12.0,960.0,log
-0.11623,2.0,16.0,400.0,log
-0.11623,6.0,12.0,480.0,log
-0.11699,6.0,8.0,240.0,log10
-0.11737,6.0,6.0,240.0,log10
-0.11925,4.0,16.0,800.0,log10
-0.1204,1.0,16.0,160.0,log
-0.12154,4.0,16.0,320.0,log10
-0.12189,2.0,18.0,400.0,log
-0.12304,8.0,10.0,320.0,log10
-0.12416,8.0,12.0,320.0,log10
-0.12418,8.0,10.0,320.0,log2
-0.12454,4.0,6.0,640.0,log2
-0.12528,10.0,10.0,1200.0,log2
-0.12569,2.0,8.0,240.0,log
-0.12605,4.0,12.0,800.0,log2
-0.12729,1.0,16.0,120.0,log10
-0.1283,6.0,6.0,1200.0,log
-0.12982,10.0,10.0,400.0,log10
-0.12984,4.0,16.0,320.0,log
-0.12984,6.0,6.0,240.0,log2
-0.13023,8.0,8.0,320.0,log10
-0.13209,2.0,18.0,240.0,log2
-0.13247,2.0,14.0,320.0,log10
-0.13286,8.0,16.0,640.0,log
-0.13397,2.0,8.0,400.0,log
-0.13511,8.0,6.0,960.0,log2
-0.13737,4.0,6.0,640.0,log10
-0.13811,2.0,16.0,320.0,log
-0.13818,2.0,20.0,160.0,log10
-0.13887,2.0,14.0,400.0,log2
-0.13962,4.0,12.0,640.0,log
-0.14077,4.0,8.0,480.0,log
-0.14135,2.0,6.0,80.0,log10
-0.14154,4.0,10.0,640.0,log2
-0.14189,10.0,6.0,400.0,log2
-0.14189,10.0,16.0,400.0,log10
-0.14198,1.0,6.0,200.0,log10
-0.14272,2.0,10.0,80.0,log
-0.14495,1.0,14.0,200.0,log10
-0.14566,6.0,14.0,720.0,log10
-0.14642,10.0,20.0,400.0,log2
-0.14951,1.0,20.0,200.0,log10
-0.15119,1.0,12.0,40.0,log10
-0.15135,4.0,18.0,160.0,log
-0.1529,1.0,6.0,160.0,log
-0.15398,6.0,8.0,1200.0,log10
-0.15479,6.0,6.0,480.0,log2
-0.15589,6.0,12.0,240.0,log10
-0.15706,1.0,16.0,200.0,log
-0.15813,2.0,20.0,400.0,log2
-0.15964,2.0,14.0,240.0,log
-0.1601,2.0,14.0,400.0,log
-0.16571,4.0,6.0,160.0,log
-0.16799,8.0,8.0,1280.0,log10
-0.16988,10.0,14.0,400.0,log2
