score,KC_factor,projections,hash_dims,flattening
0.12399,4.0,18.0,1600.0,log2
0.12381,1.0,8.0,800.0,log10
0.12369,2.0,10.0,1600.0,log10
0.12365,2.0,16.0,4000.0,log2
0.12352,1.0,8.0,800.0,log
0.12309,4.0,12.0,8000.0,log10
0.12308,8.0,8.0,6400.0,log10
0.123,1.0,6.0,800.0,log
0.12294,1.0,14.0,1200.0,log10
0.12283,1.0,8.0,1200.0,log
0.12266,4.0,12.0,8000.0,log
0.12259,2.0,8.0,3200.0,log10
0.12245,1.0,8.0,1600.0,log
0.12238,1.0,10.0,1600.0,log2
0.12229,8.0,18.0,3200.0,log2
0.12227,8.0,12.0,16000.0,log2
0.12214,4.0,16.0,1600.0,log
0.12187,2.0,20.0,800.0,log10
0.1218,2.0,6.0,2400.0,log
0.12168,2.0,8.0,3200.0,log
0.12168,8.0,12.0,3200.0,log10
0.12151,1.0,14.0,800.0,log10
0.1215,8.0,14.0,3200.0,log10
0.12149,2.0,16.0,800.0,log10
0.12141,4.0,12.0,8000.0,log2
0.12137,2.0,14.0,1600.0,log2
0.1213,1.0,16.0,400.0,log
0.12112,2.0,14.0,800.0,log10
0.12112,2.0,10.0,3200.0,log10
0.12104,6.0,12.0,12000.0,log10
0.12099,1.0,10.0,2000.0,log2
0.12092,1.0,18.0,2000.0,log2
0.12089,6.0,12.0,12000.0,log2
0.12076,2.0,12.0,4000.0,log
0.12063,4.0,8.0,4800.0,log10
0.12042,4.0,6.0,3200.0,log10
0.12039,1.0,16.0,2000.0,log
0.12019,4.0,6.0,4800.0,log
0.12018,2.0,18.0,800.0,log
0.12009,8.0,14.0,3200.0,log
0.11997,1.0,14.0,2000.0,log
0.11991,8.0,6.0,6400.0,log
0.11991,4.0,16.0,1600.0,log2
0.11977,6.0,6.0,4800.0,log
0.1197,4.0,6.0,3200.0,log2
0.11969,8.0,10.0,16000.0,log10
0.11967,1.0,12.0,800.0,log2
0.11967,2.0,10.0,3200.0,log2
0.11953,6.0,14.0,2400.0,log2
0.11942,1.0,10.0,800.0,log10
0.11912,6.0,12.0,12000.0,log
0.11899,8.0,6.0,6400.0,log2
0.1189,2.0,10.0,4000.0,log2
0.11888,4.0,12.0,1600.0,log10
0.1187,6.0,14.0,2400.0,log10
0.11864,8.0,6.0,9600.0,log2
0.11863,1.0,20.0,2000.0,log10
0.1185,8.0,16.0,3200.0,log2
0.11837,6.0,12.0,2400.0,log
0.11821,8.0,12.0,3200.0,log2
0.11808,1.0,16.0,2000.0,log2
0.118,1.0,12.0,2000.0,log10
0.11798,8.0,12.0,3200.0,log
0.1179,6.0,16.0,2400.0,log10
0.11778,4.0,14.0,1600.0,log2
0.11771,6.0,6.0,7200.0,log
0.11771,8.0,10.0,3200.0,log2
0.11768,1.0,18.0,400.0,log
0.11765,4.0,6.0,3200.0,log
0.11756,8.0,10.0,3200.0,log
0.11755,2.0,16.0,800.0,log
0.11751,4.0,8.0,1600.0,log2
0.11751,8.0,8.0,12800.0,log10
0.11737,2.0,8.0,800.0,log2
0.11725,4.0,8.0,6400.0,log
0.11717,4.0,16.0,1600.0,log10
0.11715,8.0,10.0,16000.0,log
0.11705,2.0,18.0,800.0,log2
0.11691,1.0,14.0,800.0,log
0.11667,8.0,10.0,16000.0,log2
0.11639,1.0,18.0,400.0,log2
0.11638,8.0,6.0,6400.0,log10
0.11628,2.0,12.0,800.0,log2
0.11625,4.0,6.0,4800.0,log2
0.11622,2.0,10.0,4000.0,log10
0.11621,1.0,12.0,2000.0,log2
0.11609,2.0,12.0,4000.0,log10
0.11608,8.0,6.0,9600.0,log
0.11607,8.0,8.0,12800.0,log2
0.116,6.0,8.0,2400.0,log
0.11596,2.0,12.0,800.0,log10
0.1159,4.0,10.0,8000.0,log10
0.11577,1.0,16.0,400.0,log2
0.11566,6.0,10.0,12000.0,log2
0.11556,6.0,6.0,4800.0,log10
0.11531,2.0,10.0,4000.0,log
0.11528,4.0,10.0,1600.0,log10
0.11527,2.0,12.0,4000.0,log2
0.11519,8.0,8.0,12800.0,log
0.11518,1.0,20.0,400.0,log2
0.11513,1.0,20.0,400.0,log10
0.11498,2.0,6.0,1600.0,log10
0.11497,6.0,10.0,2400.0,log2
0.11488,8.0,6.0,9600.0,log10
0.11487,2.0,12.0,800.0,log
0.11483,1.0,10.0,1600.0,log
0.11476,4.0,8.0,6400.0,log2
0.1145,1.0,6.0,1200.0,log2
0.11446,6.0,16.0,2400.0,log2
0.11416,6.0,10.0,12000.0,log10
0.11409,4.0,10.0,8000.0,log
0.11397,6.0,6.0,4800.0,log2
0.11382,6.0,12.0,2400.0,log2
0.11382,6.0,6.0,7200.0,log2
0.11382,4.0,8.0,6400.0,log10
0.11373,8.0,6.0,3200.0,log10
0.11359,2.0,6.0,800.0,log10
0.1135,4.0,6.0,4800.0,log10
0.11345,1.0,10.0,800.0,log2
0.11342,4.0,10.0,1600.0,log
0.11322,6.0,8.0,9600.0,log
0.11311,6.0,8.0,9600.0,log10
0.113,1.0,8.0,2000.0,log
0.11296,8.0,10.0,3200.0,log10
0.11265,2.0,6.0,1600.0,log2
0.11261,1.0,10.0,1600.0,log10
0.1126,1.0,10.0,2000.0,log
0.11247,2.0,8.0,1600.0,log10
0.11246,6.0,8.0,9600.0,log2
0.1124,2.0,8.0,800.0,log
0.1122,4.0,10.0,8000.0,log2
0.11211,6.0,6.0,7200.0,log10
0.11205,2.0,8.0,2400.0,log10
0.1119,6.0,10.0,12000.0,log
0.11158,2.0,8.0,4000.0,log10
0.11136,2.0,16.0,800.0,log2
0.11123,4.0,10.0,1600.0,log2
0.11101,8.0,8.0,3200.0,log10
0.11097,6.0,8.0,12000.0,log
0.11073,2.0,14.0,800.0,log
0.1106,2.0,8.0,4000.0,log
0.11059,6.0,8.0,2400.0,log10
0.11058,1.0,20.0,400.0,log
0.11023,1.0,6.0,1600.0,log
0.11,1.0,8.0,1200.0,log2
0.10964,1.0,6.0,1200.0,log10
0.10959,8.0,8.0,16000.0,log2
0.10947,2.0,6.0,3200.0,log
0.10944,2.0,8.0,4000.0,log2
0.10919,2.0,6.0,2400.0,log10
0.10858,6.0,8.0,2400.0,log2
0.10856,4.0,8.0,8000.0,log10
0.1085,4.0,14.0,1600.0,log
0.1084,2.0,6.0,1600.0,log
0.10821,1.0,12.0,2000.0,log
0.1082,4.0,12.0,1600.0,log
0.10791,6.0,6.0,9600.0,log
0.10781,4.0,8.0,1600.0,log10
0.10779,8.0,8.0,3200.0,log2
0.10775,6.0,8.0,12000.0,log2
0.10757,1.0,6.0,800.0,log2
0.10733,1.0,6.0,800.0,log10
0.10684,4.0,6.0,6400.0,log2
0.10664,4.0,6.0,1600.0,log2
0.1064,8.0,8.0,16000.0,log
0.10631,8.0,6.0,12800.0,log2
0.10596,8.0,8.0,3200.0,log
0.10596,1.0,8.0,1600.0,log2
0.10593,6.0,8.0,12000.0,log10
0.10581,4.0,8.0,8000.0,log
0.10574,1.0,16.0,400.0,log10
0.10527,8.0,8.0,16000.0,log10
0.10509,4.0,6.0,6400.0,log10
0.10505,4.0,8.0,8000.0,log2
0.10498,6.0,6.0,9600.0,log10
0.10471,6.0,10.0,2400.0,log10
0.10464,2.0,14.0,800.0,log2
0.10461,6.0,6.0,9600.0,log2
0.10455,1.0,10.0,2000.0,log10
0.10406,6.0,6.0,2400.0,log2
0.10391,2.0,10.0,800.0,log10
0.10359,4.0,6.0,6400.0,log
0.10334,1.0,8.0,1600.0,log10
0.10333,1.0,10.0,400.0,log
0.10313,1.0,12.0,400.0,log2
0.10301,2.0,6.0,2400.0,log2
0.10296,1.0,6.0,1200.0,log
0.10284,2.0,6.0,800.0,log2
0.10266,6.0,10.0,2400.0,log
0.10261,2.0,6.0,3200.0,log10
0.10251,6.0,6.0,2400.0,log
0.1025,8.0,6.0,12800.0,log10
0.10245,8.0,6.0,12800.0,log
0.10235,1.0,8.0,2000.0,log2
0.10207,1.0,8.0,2000.0,log10
0.10131,4.0,6.0,1600.0,log10
0.10079,1.0,8.0,400.0,log2
0.1004,4.0,12.0,1600.0,log2
0.10002,2.0,6.0,4000.0,log
0.09975,1.0,18.0,400.0,log10
0.09945,1.0,6.0,1600.0,log2
0.09945,1.0,6.0,1600.0,log10
0.09936,2.0,6.0,3200.0,log2
0.09902,8.0,6.0,16000.0,log2
0.09901,6.0,6.0,2400.0,log10
0.099,8.0,6.0,16000.0,log
0.099,1.0,14.0,400.0,log2
0.09895,2.0,8.0,800.0,log10
0.09892,2.0,10.0,800.0,log
0.09887,8.0,6.0,3200.0,log2
0.09881,8.0,6.0,3200.0,log
0.09795,4.0,6.0,8000.0,log10
0.09782,4.0,8.0,1600.0,log
0.09711,1.0,6.0,2000.0,log2
0.0966,6.0,6.0,12000.0,log
0.09638,1.0,8.0,400.0,log
0.09638,4.0,6.0,8000.0,log
0.09526,1.0,10.0,400.0,log2
0.09526,2.0,6.0,4000.0,log10
0.09499,8.0,6.0,16000.0,log10
0.09486,6.0,6.0,12000.0,log10
0.09448,4.0,6.0,8000.0,log2
0.09396,1.0,6.0,400.0,log
0.0938,6.0,6.0,12000.0,log2
0.09375,1.0,12.0,400.0,log
0.0934,2.0,6.0,4000.0,log2
0.09253,1.0,6.0,2000.0,log10
0.09191,1.0,8.0,400.0,log10
0.09137,1.0,6.0,2000.0,log
0.09067,1.0,10.0,400.0,log10
0.09064,1.0,6.0,400.0,log10
0.09,1.0,14.0,400.0,log
0.0893,1.0,14.0,400.0,log10
0.0885,4.0,6.0,1600.0,log
0.0884,2.0,10.0,800.0,log2
0.08258,2.0,6.0,800.0,log
0.08139,1.0,12.0,400.0,log10
0.06998,1.0,6.0,400.0,log2
